id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
116002645,2022-05-07 11:24:37,2022-05-07,2022-05-07 01:24:37 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-08 00:22:58 UTC,2022-05-08 02:56:57 UTC,needs_id,"",https://www.inaturalist.org/observations/116002645,https://static.inaturalist.org/photos/195784040/medium.jpeg,,"",Specimens collected for identification ,0,0,false,2,"6P99+C2H, Garapan, Saipan 96950, CNMI",15.2192472222,145.7182083333,,,,,,,,false,,,,,Saipan,,Saipan,,Broad-nosed Weevils,Entiminae,Broad-nosed Weevils,Insecta,203294,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,,,,,,,,,
116003369,2022-05-07 11:12:45,2022-05-07,2022-05-07 01:12:45 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-08 00:28:37 UTC,2022-05-08 00:28:59 UTC,needs_id,,https://www.inaturalist.org/observations/116003369,https://static.inaturalist.org/photos/195785302/medium.jpeg,,"",,0,0,false,2,"6P99+C2H, Garapan, Saipan 96950, CNMI",15.2191972222,145.7177472222,,,,,,,,false,gps,gps,,,Saipan,,Saipan,,Campsomerinae,Campsomerinae,,Insecta,469073,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Scolioidea,Scoliidae,Campsomerinae,,,,,,,,,,
116003941,2022-05-07 11:12:45,2022-05-07,2022-05-07 01:12:45 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-08 00:33:33 UTC,2022-05-08 00:35:20 UTC,research,,https://www.inaturalist.org/observations/116003941,https://static.inaturalist.org/photos/195786412/medium.jpeg,,"",,1,0,false,2,"6P99+C2H, Garapan, Saipan 96950, CNMI",15.2191972222,145.7177472222,,,,,,,,false,gps,gps,,,Saipan,,Saipan,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis mellifera,,,,
116004835,2022-05-07 11:11:26,2022-05-07,2022-05-07 01:11:26 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-08 00:40:26 UTC,2022-05-08 00:40:55 UTC,needs_id,,https://www.inaturalist.org/observations/116004835,https://static.inaturalist.org/photos/195787920/medium.jpeg,,"",,0,0,false,2,"6P99+C2H, Garapan, Saipan 96950, CNMI",15.2191916667,145.7177694444,,,,,,,,false,gps,gps,,,Saipan,,Saipan,,Campsomerinae,Campsomerinae,,Insecta,469073,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Scolioidea,Scoliidae,Campsomerinae,,,,,,,,,,
116020360,2022-05-08 12:36:20,2022-05-08,2022-05-08 02:36:20 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-08 02:55:39 UTC,2022-05-08 02:55:49 UTC,needs_id,,https://www.inaturalist.org/observations/116020360,https://static.inaturalist.org/photos/195816925/medium.jpeg,,"",Specimen collected for identification ,0,0,false,2,"Garapan, Saipan 96950, CNMI",15.2059111111,145.7207611111,,,,,,,,false,gps,gps,,,Saipan,,Saipan,,Snout and Bark Beetles,Curculionoidea,Snout and Bark Beetles,Insecta,60473,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,,,,,,,,,,,,
116021195,2022-05-08 12:45:06,2022-05-08,2022-05-08 02:45:06 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-08 03:02:47 UTC,2022-05-08 03:03:10 UTC,needs_id,,https://www.inaturalist.org/observations/116021195,https://static.inaturalist.org/photos/195818478/medium.jpeg,,"",Found on ivy gourd vines. ,0,0,false,2,"Garapan, Saipan 96950, CNMI",15.2058722222,145.7210055556,,,,,,,,false,gps,gps,,,Saipan,,Saipan,,Plataspinae,Plataspinae,,Insecta,631052,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Plataspidae,Plataspinae,,,,,,,,,,
116351418,2022-05-10 08:29:42,2022-05-10,2022-05-09 22:29:42 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-09 23:45:15 UTC,2022-05-09 23:49:08 UTC,needs_id,,https://www.inaturalist.org/observations/116351418,https://static.inaturalist.org/photos/196394850/medium.jpeg,,"",Damage to the cycad shown in last image,0,0,false,2,"4PFF+GX6, I Fadang, Saipan 96950, CNMI",15.1225083333,145.724825,,,,,,,,false,,,,,Saipan,,Saipan,,plains cupid,Luthrodes pandava,plains cupid,Insecta,1097646,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Polyommatina,Luthrodes,,Luthrodes pandava,,,,
116399536,2022-05-10 13:30:56,2022-05-10,2022-05-10 03:30:56 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-10 10:21:51 UTC,2022-05-10 10:22:12 UTC,needs_id,,https://www.inaturalist.org/observations/116399536,https://static.inaturalist.org/photos/196484347/medium.jpeg,,"",,0,0,false,2,"44RR+22G, Songsong, Rota Island 96951, CNMI",14.1409305556,145.1395027778,,,,,,,,false,gps,gps,,,Rota,,Rota,,Lesser House Fly,Fannia canicularis,Lesser House Fly,Insecta,121213,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Fanniidae,,,,,Fannia,,Fannia canicularis,,,,
116399906,2022-05-10 13:22:19,2022-05-10,2022-05-10 03:22:19 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-10 10:26:03 UTC,2022-05-10 10:26:27 UTC,needs_id,,https://www.inaturalist.org/observations/116399906,https://static.inaturalist.org/photos/196484875/medium.jpeg,,"",,0,0,false,2,"44RR+22G, Songsong, Rota Island 96951, CNMI",14.1410027778,145.1394166667,,,,,,,,false,gps,gps,,,Rota,,Rota,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis mellifera,,,,
116400369,2022-05-10 13:13:50,2022-05-10,2022-05-10 03:13:50 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-10 10:34:02 UTC,2022-05-10 15:32:25 UTC,research,,https://www.inaturalist.org/observations/116400369,https://static.inaturalist.org/photos/196485667/medium.jpeg,,"",Looked larger than typically seen.,1,0,false,2,"44RR+22G, Songsong, Rota Island 96951, CNMI",14.1414777778,145.1397805556,,,,,,,,false,gps,gps,,,Rota,,Rota,,Rhynchium brunneum,Rhynchium brunneum,,Insecta,528449,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Rhynchium,,Rhynchium brunneum,,,,
116486358,2022-05-10 13:48:54,2022-05-10,2022-05-10 03:48:54 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-10 22:57:04 UTC,2022-05-10 22:57:20 UTC,needs_id,,https://www.inaturalist.org/observations/116486358,https://static.inaturalist.org/photos/196635345/medium.jpeg,,"",,0,0,false,2,"44RR+22G, Songsong, Rota Island 96951, CNMI",14.1395083333,145.1379722222,,,,,,,,false,gps,gps,,,Rota,,Rota,,Brachycyttarus griseus,Brachycyttarus griseus,,Insecta,781487,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tineoidea,Psychidae,,,,,Brachycyttarus,,Brachycyttarus griseus,,,,
116534265,2022-05-11 16:41:41,2022-05-11,2022-05-11 06:41:41 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-11 09:15:38 UTC,2022-05-12 02:16:32 UTC,needs_id,,https://www.inaturalist.org/observations/116534265,https://static.inaturalist.org/photos/196722083/medium.jpeg,,"",,2,0,false,2,"Rota Island 96951, CNMI",14.1251,145.16825,,,,,,,,false,gps,gps,,,Rota,,Rota,,Paper Wasps,Polistinae,Paper Wasps,Insecta,343248,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,,,,,,,,,
116535130,2022-05-11 15:05:03,2022-05-11,2022-05-11 05:05:03 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-11 09:32:01 UTC,2022-05-11 09:38:28 UTC,needs_id,"",https://www.inaturalist.org/observations/116535130,https://static.inaturalist.org/photos/196723398/medium.jpeg,,"",,0,0,false,2,"Rota Island 96951, CNMI",14.1739194444,145.1948611111,,,,,,,,false,,,,,Rota,,Rota,,Lallemandana phalerata,Lallemandana phalerata,,Insecta,774237,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Cercopoidea,Aphrophoridae,Aphrophorinae,,Cloviini,,Lallemandana,,Lallemandana phalerata,,,,
116610393,2022-05-11 12:22:49,2022-05-11,2022-05-11 02:22:49 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-11 21:21:29 UTC,2022-05-11 21:22:04 UTC,needs_id,,https://www.inaturalist.org/observations/116610393,https://static.inaturalist.org/photos/196853793/medium.jpeg,,"",,0,0,false,2,"Rota Island 96951, CNMI",14.1985027778,145.2581861111,,,,,,,,false,gps,gps,,,Rota,,Rota,,Leaf Beetles,Chrysomelidae,Leaf Beetles,Insecta,51146,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,,,,,,,,,,,
116610818,2022-05-11 10:11:50,2022-05-11,2022-05-11 00:11:50 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-11 21:24:57 UTC,2022-05-12 01:41:33 UTC,needs_id,,https://www.inaturalist.org/observations/116610818,https://static.inaturalist.org/photos/196854483/medium.jpeg,,"",On Ficus tree at the Songsong overlook ,1,0,false,2,"Rota, MP",14.1481888889,145.1457861111,,,,,,,,false,gps,gps,,,Rota,,Rota,,Wax Scales,Ceroplastes,Wax Scales,Insecta,84463,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Coccidae,Ceroplastinae,,,,Ceroplastes,,,,,,
116639185,2022-05-12 10:58:29,2022-05-12,2022-05-12 00:58:29 UTC,Pacific/Saipan,2162342,entomologist_of_mystery,2022-05-12 01:41:14 UTC,2022-05-12 01:41:47 UTC,needs_id,,https://www.inaturalist.org/observations/116639185,https://static.inaturalist.org/photos/196906464/medium.jpeg,,"",,0,0,false,2,"5737+CX5 l'Chenchon Park Bird Sanctuary, Rota Island 96951, CNMI",14.1537777778,145.2673305556,,,,,,,,false,gps,gps,,,Rota,,Rota,,Rusty Millipede,Trigoniulus corallinus,Rusty Millipede,Animalia,123010,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Spirobolida,Trigoniulidea,,Pachybolidae,Trigoniulinae,,,,Trigoniulus,,Trigoniulus corallinus,,,,
116656994,2022-05-12 13:36:48+10:00,2022-05-12,2022-05-12 03:36:48 UTC,Guam,1114621,zia_crytser,2022-05-12 05:30:50 UTC,2022-05-12 05:39:01 UTC,needs_id,,https://www.inaturalist.org/observations/116656994,https://static.inaturalist.org/photos/196941410/medium.jpg,,"","",0,0,false,3,"Anao Conservation Reserve, Yigo, Guam, US",13.5433783333,144.9297466667,5,,,,5,,,false,,,,,Yigo,,Guam,,"",Ceroplastes,Wax Scales,Insecta,84463,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Coccidae,Ceroplastinae,,,,Ceroplastes,,,,,,
116771027,2022/05/11,2022-05-11,,Guam,7547,aubreymoore,2022-05-13 00:34:29 UTC,2022-05-13 00:44:10 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/116771027,https://inaturalist-open-data.s3.amazonaws.com/photos/197139658/medium.png,,"","",0,0,false,,"Yigo, Guam",13.604485,144.897337,,,,,,,,false,,,,,Yigo,,Guam,,Lady Beetles,Coccinellidae,Lady Beetles,Insecta,48486,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,,,,,,,,,,,
